Ties,Tictactoe_Q_learning_agent wins,Default Player wins
0.06,0.57,0.37
0.08,0.64,0.28
0.08,0.7,0.22
0.12,0.66,0.22
0.14,0.56,0.3
0.0,0.8,0.2
0.08,0.76,0.16
0.04,0.86,0.1
0.05,0.84,0.11
0.08,0.81,0.11
0.01,0.82,0.17
0.03,0.87,0.1
0.02,0.95,0.03
0.07,0.92,0.01
0.09,0.72,0.19
0.19,0.68,0.13
0.15,0.75,0.1
0.28,0.59,0.13
0.15,0.72,0.13
0.23,0.72,0.05
0.18,0.71,0.11
0.22,0.71,0.07
0.11,0.79,0.1
0.17,0.78,0.05
0.15,0.81,0.04
0.22,0.68,0.1
0.18,0.76,0.06
0.13,0.74,0.13
0.17,0.76,0.07
0.11,0.78,0.11
0.19,0.74,0.07
0.2,0.68,0.12
0.17,0.78,0.05
0.22,0.67,0.11
0.21,0.68,0.11
0.15,0.73,0.12
0.16,0.69,0.15
0.06,0.94,0.0
0.16,0.77,0.07
0.18,0.74,0.08
0.1,0.77,0.13
0.11,0.76,0.13
0.17,0.76,0.07
0.23,0.69,0.08
0.16,0.72,0.12
0.2,0.74,0.06
0.23,0.7,0.07
0.17,0.75,0.08
0.25,0.63,0.12
0.17,0.7,0.13
0.11,0.81,0.08
0.16,0.77,0.07
0.17,0.75,0.08
0.09,0.78,0.13
0.18,0.7,0.12
0.1,0.78,0.12
0.13,0.73,0.14
0.11,0.73,0.16
0.11,0.81,0.08
0.13,0.71,0.16
0.15,0.71,0.14
0.13,0.75,0.12
0.15,0.79,0.06
0.15,0.82,0.03
0.12,0.82,0.06
0.18,0.71,0.11
0.17,0.77,0.06
0.17,0.76,0.07
0.16,0.75,0.09
0.12,0.8,0.08
0.12,0.76,0.12
0.13,0.77,0.1
0.26,0.67,0.07
0.14,0.72,0.14
0.2,0.66,0.14
0.18,0.72,0.1
0.11,0.78,0.11
0.11,0.79,0.1
0.14,0.75,0.11
0.18,0.74,0.08
0.14,0.72,0.14
0.16,0.76,0.08
0.12,0.73,0.15
0.12,0.79,0.09
0.13,0.77,0.1
0.1,0.76,0.14
0.14,0.78,0.08
0.14,0.78,0.08
0.2,0.65,0.15
0.1,0.8,0.1
0.12,0.84,0.04
0.19,0.69,0.12
0.14,0.75,0.11
0.13,0.71,0.16
0.14,0.73,0.13
0.12,0.77,0.11
0.12,0.82,0.06
0.1,0.76,0.14
0.1,0.78,0.12
0.13,0.8,0.07
0.12,0.82,0.06